ts_utc,ticker,city,band,yes_bid,yes_ask,no_bid,no_ask,volume,kmia_obs,nyc_obs
2026-08-30T00:06Z,KXHIGHDEN-26AUG29-T90,DEN,T90,0.00,0.01,0.99,1.00,4044,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG29-T97,DEN,T97,0.00,0.01,0.99,1.00,427,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG30-B85.5,DEN,B85.5,0.20,0.22,0.78,0.80,66,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG30-B87.5,DEN,B87.5,0.42,0.43,0.57,0.58,316,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG30-B89.5,DEN,B89.5,0.18,0.22,0.78,0.82,112,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG30-B91.5,DEN,B91.5,0.06,0.09,0.91,0.94,122,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG30-T85,DEN,T85,0.07,0.08,0.92,0.93,52,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG30-T92,DEN,T92,0.00,0.02,0.98,1.00,905,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG29-B88.5,MIA,B88.5,0.00,0.01,0.99,1.00,22540,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG29-B90.5,MIA,B90.5,0.01,0.02,0.98,0.99,21733,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG29-B92.5,MIA,B92.5,0.00,0.01,0.99,1.00,15205,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG29-B94.5,MIA,B94.5,0.00,0.01,0.99,1.00,6326,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG29-T88,MIA,T88,0.98,1.00,0.00,0.02,32859,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG29-T95,MIA,T95,0.00,0.01,0.99,1.00,1696,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG30-B87.5,MIA,B87.5,0.08,0.09,0.91,0.92,366,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG30-B89.5,MIA,B89.5,0.31,0.33,0.67,0.69,786,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG30-B91.5,MIA,B91.5,0.43,0.45,0.55,0.57,594,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG30-B93.5,MIA,B93.5,0.13,0.14,0.86,0.87,910,81,74
